"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14","1,952.50","1,921.25","1,970.00","1,913.75","22.43M","1.61%"
"May 14","1,921.50","1,879.50","1,922.25","1,854.50","27.54M","2.32%"
"Apr 14","1,878.00","1,864.50","1,892.50","1,803.25","34.39M","0.72%"
"Mar 14","1,864.50","1,846.00","1,887.50","1,830.50","29.72M","0.38%"
"Feb 14","1,857.50","1,777.50","1,866.50","1,732.00","33.09M","4.56%"
"Jan 14","1,776.50","1,837.75","1,845.75","1,761.25","33.66M","-3.50%"
"Dec 13","1,841.00","1,806.25","1,846.50","1,760.25","21.68M","2.05%"
"Nov 13","1,804.00","1,755.50","1,812.50","1,736.50","28.54M","3.03%"
"Oct 13","1,751.00","1,678.50","1,773.25","1,640.00","38.93M","4.58%"
"Sep 13","1,674.25","1,640.25","1,733.25","1,630.75","27.81M","2.64%"
"Aug 13","1,631.25","1,685.50","1,705.00","1,624.75","34.76M","-2.93%"
"Jul 13","1,680.50","1,600.25","1,695.50","1,593.25","29.25M","5.08%"
"Jun 13","1,599.25","1,629.50","1,655.00","1,553.25","36.25M","-1.83%"
"May 13","1,629.00","1,593.75","1,685.75","1,576.00","41.51M","2.31%"
"Apr 13","1,592.25","1,563.00","1,594.25","1,530.75","41.05M","1.89%"
"Mar 13","1,562.75","1,512.50","1,565.00","1,499.50","31.36M","3.27%"
"Feb 13","1,513.25","1,496.00","1,530.00","1,481.75","35.77M","1.34%"
"Jan 13","1,493.25","1,443.00","1,506.00","1,438.25","30.69M","5.16%"
"Dec 12","1,420.00","1,413.25","1,450.50","1,382.25","23.77M","0.39%"
"Nov 12","1,414.50","1,402.00","1,431.75","1,340.25","39.41M","0.55%"
"Oct 12","1,406.75","1,432.75","1,466.00","1,394.50","35.97M","-1.92%"
"Sep 12","1,434.25","1,406.25","1,474.75","1,394.50","25.46M","2.08%"
"Aug 12","1,405.00","1,372.00","1,424.75","1,349.25","33.29M","2.22%"
"Jul 12","1,374.50","1,358.75","1,387.50","1,319.75","38.57M","1.33%"
"Jun 12","1,356.50","1,306.25","1,359.50","1,262.00","38.30M","3.61%"
"May 12","1,309.25","1,394.25","1,411.75","1,287.25","47.31M","-6.05%"
"Apr 12","1,393.50","1,407.25","1,417.75","1,352.50","35.72M","-0.69%"
"Mar 12","1,403.25","1,362.25","1,419.75","1,338.50","30.68M","2.84%"
"Feb 12","1,364.50","1,307.75","1,377.25","1,303.75","32.42M","4.30%"
"Jan 12","1,308.25","1,274.75","1,329.75","1,259.75","34.65M","4.45%"
"Dec 11","1,252.50","1,243.75","1,272.00","1,195.50","28.65M","0.52%"
"Nov 11","1,246.00","1,247.50","1,275.25","1,147.50","51.41M","-0.26%"
"Oct 11","1,249.25","1,124.00","1,289.25","1,068.00","55.00M","10.95%"
"Sep 11","1,126.00","1,218.00","1,228.50","1,102.00","50.20M","-7.53%"
"Aug 11","1,217.75","1,306.00","1,309.75","1,077.00","82.47M","-5.49%"
"Jul 11","1,288.50","1,314.75","1,354.50","1,278.50","43.05M","-2.05%"
"Jun 11","1,315.50","1,344.75","1,347.75","1,256.25","40.74M","-2.12%"
"May 11","1,344.00","1,363.25","1,373.50","1,302.25","43.05M","-1.16%"
"Apr 11","1,359.75","1,321.25","1,363.75","1,290.25","32.67M","2.93%"
"Mar 11","1,321.00","1,326.50","1,336.50","1,246.50","39.20M","-0.38%"
"Feb 11","1,326.00","1,282.50","1,343.00","1,281.25","36.25M","3.39%"
"Jan 11","1,282.50","1,256.00","1,299.50","1,255.25","38.66M","2.35%"
"Dec 10","1,253.00","1,177.75","1,258.50","1,176.25","23.18M","6.23%"
"Nov 10","1,179.50","1,180.50","1,224.75","1,171.00","45.36M","-0.02%"
"Oct 10","1,179.75","1,135.75","1,193.00","1,127.00","41.90M","3.78%"
"Sep 10","1,136.75","1,051.75","1,153.50","1,050.75","32.98M","8.44%"
"Aug 10","1,048.25","1,104.50","1,127.75","1,037.00","42.06M","-4.55%"
"Jul 10","1,098.25","1,024.50","1,118.75","1,002.75","44.40M","6.99%"
"Jun 10","1,026.50","1,088.50","1,129.50","1,023.00","44.33M","-5.70%"
"May 10","1,088.50","1,184.50","1,202.00","1,036.75","64.17M","-8.03%"
"Apr 10","1,183.50","1,167.00","1,216.75","1,165.75","43.41M","1.57%"
"Mar 10","1,165.25","1,105.50","1,176.50","1,104.25","32.63M","5.60%"
"Feb 10","1,103.50","1,070.00","1,112.75","1,040.75","42.89M","3.08%"
"Jan 10","1,070.50","1,113.75","1,148.00","1,066.50","40.73M","-3.62%"
"Dec 09","1,110.75","1,092.75","1,128.50","1,085.00","24.23M","1.46%"
"Nov 09","1,094.75","1,031.25","1,112.25","1,026.00","36.85M","5.98%"
"Oct 09","1,033.00","1,053.50","1,099.00","1,012.00","46.28M","-1.90%"
"Sep 09","1,053.00","1,021.00","1,076.50","991.00","31.57M","3.26%"
"Aug 09","1,019.75","982.75","1,038.75","975.50","38.33M","3.58%"
"Jul 09","984.50","915.75","994.00","865.25","42.23M","7.54%"
"Jun 09","915.50","920.25","957.50","884.25","34.06M","-0.27%"
"May 09","918.00","866.00","929.50","862.50","45.89M","5.52%"
"Apr 09","870.00","790.50","887.00","779.00","49.22M","9.47%"
"Mar 09","794.75","731.25","830.50","665.75","49.00M","8.24%"
"Feb 09","734.25","823.75","873.00","729.50","49.30M","-10.73%"
"Jan 09","822.50","900.00","942.75","797.50","45.64M","-8.61%"
"Dec 08","900.00","897.50","919.25","813.00","33.68M","0.53%"
"Nov 08","895.25","965.75","1,008.50","739.00","56.28M","-7.44%"
"Oct 08","967.25","1,167.50","1,174.00","825.00","84.13M","-17.26%"
"Sep 08","1,169.00","1,282.00","1,303.50","1,112.00","47.37M","-8.85%"
"Aug 08","1,282.50","1,266.50","1,313.50","1,246.25","36.24M","1.22%"
"Jul 08","1,267.00","1,283.00","1,294.75","1,200.75","53.29M","-1.09%"
"Jun 08","1,281.00","1,400.75","1,411.00","1,272.75","34.52M","-8.53%"
"May 08","1,400.50","1,383.00","1,441.00","1,370.50","36.08M","1.05%"
"Apr 08","1,386.00","1,321.25","1,407.00","1,315.75","38.38M","4.68%"
"Mar 08","1,324.00","1,329.50","1,361.50","1,253.00","36.37M","-0.54%"
"Feb 08","1,331.25","1,373.00","1,400.00","1,312.75","40.19M","-3.50%"
"Jan 08","1,379.50","1,478.75","1,482.75","1,255.50","55.14M","-6.62%"
"Dec 07","1,477.25","1,484.00","1,527.00","1,435.50","21.06M","-0.44%"
"Nov 07","1,483.75","1,552.50","1,555.00","1,406.25","46.56M","-4.58%"
"Oct 07","1,554.90","1,540.50","1,586.75","1,492.50","38.62M","1.10%"
"Sep 07","1,538.00","1,476.00","1,545.50","1,440.75","24.30M","4.15%"
"Aug 07","1,476.75","1,462.50","1,510.50","1,374.50","55.25M","1.01%"
"Jul 07","1,462.00","1,515.25","1,566.25","1,455.00","35.25M","-3.53%"
"Jun 07","1,515.50","1,533.00","1,554.25","1,480.50","25.89M","-1.14%"
"May 07","1,533.00","1,489.25","1,538.00","1,482.25","26.17M","2.99%"
"Apr 07","1,488.50","1,431.75","1,505.00","1,425.75","20.34M","4.00%"
"Mar 07","1,431.25","1,408.75","1,451.00","1,363.75","25.37M","1.58%"
"Feb 07","1,409.00","1,442.25","1,464.75","1,389.00","22.37M","-2.36%"
"Jan 07","1,443.00","1,433.25","1,447.25","1,412.25","21.60M","1.02%"
"Dec 06","1,428.50","1,403.00","1,444.00","1,387.50","12.00M","1.82%"
"Nov 06","1,403.00","1,382.75","1,411.25","1,365.50","23.44M","1.43%"
"Oct 06","1,383.25","1,345.75","1,398.00","1,336.00","22.35M","2.81%"
"Sep 06","1,345.40","1,305.00","1,350.50","1,291.50","14.30M","3.06%"
"Aug 06","1,305.50","1,282.75","1,308.75","1,262.50","18.99M","1.85%"
"Jul 06","1,281.75","1,281.75","1,290.00","1,231.00","21.61M","0.18%"
"Jun 06","1,279.50","1,273.00","1,294.00","1,218.75","18.51M","0.59%"
"May 06","1,272.00","1,318.50","1,331.25","1,246.75","24.64M","-3.34%"
"Apr 06","1,316.00","1,307.00","1,324.75","1,286.50","18.17M","0.98%"
"Mar 06","1,303.25","1,281.75","1,321.50","1,268.75","14.69M","1.62%"
"Feb 06","1,282.50","1,279.50","1,299.75","1,255.75","16.00M","-0.08%"
"Jan 06","1,283.50","1,255.25","1,301.00","1,251.50","18.71M","2.29%"
"Dec 05","1,254.75","1,252.50","1,281.00","1,251.25","10.14M","0.30%"
"Nov 05","1,251.00","1,204.00","1,273.00","1,202.50","15.98M","3.41%"
"Oct 05","1,209.75","1,235.25","1,239.00","1,171.75","22.92M","-1.99%"
"Sep 05","1,234.25","1,222.50","1,244.50","1,210.75","13.00M","1.04%"
"Aug 05","1,221.50","1,239.25","1,248.50","1,194.00","17.66M","-1.23%"
"Jul 05","1,236.75","1,196.00","1,248.75","1,170.75","14.40M","3.45%"
"Jun 05","1,195.50","1,192.50","1,225.00","1,191.25","11.81M","0.27%"
"May 05","1,192.25","1,157.75","1,202.00","1,146.75","16.53M","2.91%"
"Apr 05","1,158.50","1,183.75","1,195.75","1,135.75","20.17M","-2.15%"
"Mar 05","1,184.00","1,205.00","1,229.75","1,166.75","12.41M","-1.66%"
"Feb 05","1,204.00","1,181.75","1,214.75","1,179.50","12.50M","1.88%"
"Jan 05","1,181.75","1,213.50","1,221.25","1,164.25","15.44M","-2.64%"
"Dec 04","1,213.75","1,175.50","1,219.75","1,173.50","7.92M","3.39%"
"Nov 04","1,174.00","1,127.50","1,191.25","1,126.25","13.63M","3.87%"
"Oct 04","1,130.25","1,114.75","1,143.75","1,088.00","14.62M","1.37%"
"Sep 04","1,115.00","1,104.25","1,132.50","1,098.00","8.81M","1.00%"
"Aug 04","1,104.00","1,098.00","1,109.75","1,060.00","12.88M","0.27%"
"Jul 04","1,101.00","1,141.50","1,143.75","1,077.00","14.30M","-3.46%"
"Jun 04","1,140.50","1,121.50","1,146.25","1,112.50","8.97M","1.81%"
"May 04","1,120.25","1,105.25","1,127.50","1,075.25","15.87M","1.29%"
"Apr 04","1,106.00","1,127.25","1,154.50","1,103.75","14.99M","-1.69%"
"Mar 04","1,125.00","1,144.25","1,163.75","1,084.75","11.97M","-1.70%"
"Feb 04","1,144.50","1,130.25","1,158.75","1,122.00","11.34M","1.28%"
"Jan 04","1,130.00","1,111.00","1,155.00","1,103.50","13.07M","1.76%"
"Dec 03","1,110.50","1,059.00","1,111.50","1,053.00","6.87M","4.99%"
"Nov 03","1,057.75","1,047.25","1,064.50","1,030.25","11.00M","0.79%"
"Oct 03","1,049.50","995.00","1,055.75","995.00","14.55M","5.58%"
"Sep 03","994.00","1,008.25","1,041.75","987.75","10.93M","-1.36%"
"Aug 03","1,007.75","988.75","1,012.25","958.25","10.85M","1.87%"
"Jul 03","989.25","972.75","1,014.75","960.25","14.85M","1.64%"
"Jun 03","973.25","963.75","1,016.75","963.50","10.35M","1.04%"
"May 03","963.25","915.50","966.00","900.50","12.83M","5.16%"
"Apr 03","916.00","844.50","923.75","843.00","13.51M","8.15%"
"Mar 03","847.00","844.00","888.50","788.50","9.69M","0.71%"
"Feb 03","841.00","854.75","864.00","805.25","12.62M","-1.61%"
"Jan 03","854.75","883.00","937.00","836.00","13.58M","-2.76%"
"Dec 02","879.00","934.00","955.25","868.00","6.65M","-6.09%"
"Nov 02","936.00","882.00","942.50","870.25","11.05M","5.70%"
"Oct 02","885.50","816.50","909.25","767.25","17.17M","8.65%"
"Sep 02","815.00","913.25","927.50","798.25","7.96M","-11.03%"
"Aug 02","916.00","909.25","966.00","828.50","11.20M","0.49%"
"Jul 02","911.50","989.00","996.25","771.00","14.28M","-7.93%"
"Jun 02","990.00","1,066.25","1,071.00","945.50","6.69M","-7.26%"
"May 02","1,067.50","1,076.75","1,109.00","1,045.75","7.56M","-0.91%"
"Apr 02","1,077.25","1,145.25","1,150.00","1,063.50","7.16M","-6.26%"
"Mar 02","1,149.25","1,106.25","1,177.50","1,106.00","3.75M","3.82%"
